maths8,science8,english8,history8,geography8,maths9,science9,english9,history9,geography9,maths10,science10,english10,history10,geography10,logical,creative,social,leadership,practical,interest_text,stream
56,82,51,80,49,69,92,66,84,98,95,65,94,71,53,1,3,9,2,2,literature,Arts
52,61,52,59,45,80,52,41,48,81,88,64,67,68,81,6,4,6,1,6,accounting,Commerce
98,89,49,96,62,66,88,44,65,87,64,72,42,65,60,4,8,2,9,4,drawing,Arts
41,64,45,65,65,98,91,63,48,94,82,57,96,74,57,1,2,3,10,3,accounting,Commerce
52,54,55,66,57,83,44,68,72,85,93,64,94,94,76,2,2,3,8,9,business,Commerce
94,90,60,93,76,62,83,81,58,86,50,56,71,100,48,7,6,7,9,5,biology,Science
59,84,42,64,88,72,72,64,100,57,52,78,51,83,47,7,10,6,7,9,literature,Arts
82,91,44,98,99,70,48,96,62,83,75,66,71,94,79,4,10,3,3,6,music,Arts
46,66,42,79,58,88,85,89,43,65,67,78,70,79,45,8,5,10,3,8,business,Commerce
77,90,88,87,56,91,71,45,56,67,88,48,49,84,64,8,4,7,2,2,marketing,Commerce
62,48,48,54,42,71,78,92,74,93,78,88,48,74,42,5,10,3,9,10,physics,Science
69,81,90,43,58,73,60,95,83,97,71,59,61,80,54,9,3,3,5,3,engineering,Science
100,59,75,47,59,43,82,56,95,80,91,71,86,40,44,3,7,10,7,7,history,Arts
51,69,59,80,86,69,82,96,99,92,47,56,62,46,72,9,10,2,8,10,psychology,Arts
53,68,57,85,88,43,97,66,59,87,70,80,83,83,96,9,3,4,3,9,physics,Science
62,97,53,82,44,99,40,91,71,64,76,52,57,70,49,9,9,2,5,3,engineering,Science
77,62,68,53,64,95,85,51,78,87,54,58,83,71,90,6,10,2,2,4,marketing,Commerce
46,91,99,92,76,59,67,91,68,100,58,70,41,54,98,3,4,2,9,4,literature,Arts
54,78,73,42,85,41,97,72,89,74,43,42,66,56,40,3,6,7,3,2,physics,Science
96,52,82,59,88,79,80,75,43,100,75,41,99,92,41,10,6,7,7,7,drawing,Arts
87,81,65,89,63,71,57,61,52,94,86,70,72,48,45,10,1,9,1,1,economics,Commerce
82,63,47,42,93,60,64,90,99,43,59,43,52,44,70,7,6,7,9,10,chemistry,Science
89,74,85,76,92,57,79,78,56,67,84,40,41,54,87,6,10,9,2,7,marketing,Commerce
54,100,65,62,70,49,81,65,54,50,47,64,54,100,76,4,10,9,9,1,history,Arts
99,75,91,93,95,60,69,91,70,51,48,71,84,45,86,1,2,6,7,9,technology,Science
75,87,54,51,68,96,57,46,99,52,80,42,69,87,45,10,1,3,6,3,literature,Arts
85,83,90,55,55,52,67,78,66,91,46,64,65,63,73,4,4,6,7,5,biology,Science
88,59,65,51,44,53,52,88,51,89,45,49,47,60,97,5,2,9,6,4,psychology,Arts
69,57,98,94,73,70,78,73,93,69,50,42,85,88,60,1,9,6,1,2,literature,Arts
81,54,41,97,67,41,68,87,87,51,40,40,45,66,78,4,9,2,4,6,technology,Science
62,84,45,91,67,82,45,100,80,95,41,96,99,91,44,1,8,6,8,5,biology,Science
96,93,94,76,43,68,91,87,96,65,63,52,43,100,70,1,4,9,7,2,literature,Arts
89,91,100,51,69,88,55,45,66,94,95,96,49,60,98,6,4,10,8,3,economics,Commerce
75,41,100,49,45,60,90,68,48,48,62,83,100,66,98,3,7,4,1,1,biology,Science
59,93,89,82,77,42,66,43,63,98,55,82,94,50,43,1,7,6,4,10,history,Arts
56,87,100,49,95,98,83,82,96,96,88,80,87,64,78,1,7,8,7,10,chemistry,Science
90,42,65,65,68,62,83,69,55,53,76,56,88,56,42,5,8,2,2,8,technology,Science
54,56,85,74,49,42,99,72,74,80,53,57,46,70,50,3,7,3,3,1,music,Arts
75,93,70,99,99,60,68,100,97,49,61,78,63,89,94,7,8,6,1,3,finance,Commerce
81,42,46,48,48,42,57,100,43,82,46,60,52,87,48,2,10,10,9,3,physics,Science
96,89,47,75,79,93,99,65,92,40,78,92,68,55,62,4,5,10,10,9,accounting,Commerce
44,84,84,76,86,40,99,70,52,50,72,48,92,52,67,7,5,9,6,1,music,Arts
47,94,51,77,78,61,46,93,66,82,92,61,87,80,82,9,5,3,9,10,accounting,Commerce
66,66,45,66,81,90,45,83,40,100,60,55,87,65,99,5,5,7,6,1,economics,Commerce
85,41,41,84,66,53,72,83,66,44,81,71,70,78,74,6,6,1,3,7,chemistry,Science
60,99,63,87,96,54,49,46,81,80,40,54,40,68,56,7,10,8,4,10,history,Arts
93,83,65,54,47,93,97,78,93,51,47,47,83,94,62,2,5,5,6,9,engineering,Science
49,98,96,47,58,48,72,63,79,86,52,54,92,67,92,2,10,3,8,8,music,Arts
59,98,81,45,84,53,40,82,46,97,79,84,63,97,74,1,3,3,9,8,technology,Science
71,91,46,91,78,41,81,49,52,90,67,76,46,71,91,4,5,2,9,3,chemistry,Science
68,90,53,60,84,85,88,44,79,47,50,82,40,51,76,9,3,9,1,9,finance,Commerce
78,83,93,47,67,73,50,62,90,65,100,87,84,73,51,7,1,10,5,3,business,Commerce
97,42,67,49,71,53,46,66,73,72,75,74,67,95,71,7,10,9,2,10,business,Commerce
80,90,49,81,53,91,99,85,69,44,57,41,47,51,43,3,7,10,1,5,accounting,Commerce
99,72,51,71,74,79,85,73,81,85,88,73,86,82,41,2,9,10,1,6,finance,Commerce
66,79,90,57,93,66,89,44,91,72,83,60,83,87,43,3,4,6,5,10,history,Arts
98,80,46,52,80,71,97,48,91,44,53,51,99,92,74,4,7,4,4,2,chemistry,Science
66,51,87,55,45,70,95,72,99,48,99,51,45,99,74,8,7,8,4,5,history,Arts
77,92,43,60,90,61,56,66,69,64,100,71,88,83,81,9,7,2,5,1,accounting,Commerce
47,100,50,49,81,84,85,98,61,94,40,57,91,48,96,5,4,3,10,5,marketing,Commerce
57,74,56,71,96,76,54,47,87,78,58,81,64,100,71,8,8,3,8,6,music,Arts
78,82,49,74,62,64,89,47,58,42,78,100,93,53,56,4,4,5,1,2,accounting,Commerce
72,53,44,58,72,62,72,85,57,62,69,77,96,59,59,10,6,5,7,8,chemistry,Science
51,88,87,100,79,42,47,92,48,74,78,72,59,97,92,2,9,2,7,10,economics,Commerce
42,57,47,57,96,65,70,48,59,92,60,57,80,75,83,2,10,7,4,9,technology,Science
77,66,67,99,52,50,63,67,73,51,54,57,78,49,99,1,10,6,3,4,chemistry,Science
61,59,100,68,92,82,78,93,79,61,59,80,56,81,81,2,9,9,5,7,finance,Commerce
51,97,91,65,49,73,89,52,53,90,81,62,80,54,70,10,9,5,6,5,literature,Arts
86,64,50,43,86,48,75,97,48,65,50,66,99,50,99,9,6,1,6,4,accounting,Commerce
60,67,50,86,56,57,46,84,60,50,76,96,61,55,83,3,4,10,10,9,biology,Science
97,66,41,97,45,69,93,49,78,99,79,81,47,49,69,10,6,10,1,2,economics,Commerce
46,66,64,60,89,67,63,63,89,68,84,61,64,55,41,5,5,5,7,6,psychology,Arts
73,99,68,87,92,100,77,48,82,72,90,62,97,99,100,6,3,5,1,9,biology,Science
86,66,61,100,68,78,58,47,66,60,62,84,62,53,58,10,2,7,3,9,physics,Science
55,83,85,44,87,83,71,42,69,71,74,50,89,97,94,3,2,3,5,6,technology,Science
48,93,65,80,60,97,59,44,81,71,81,86,80,58,70,7,8,7,9,8,engineering,Science
77,97,51,80,49,70,68,51,73,47,44,48,48,94,63,6,4,8,1,5,drawing,Arts
93,95,49,44,70,83,70,79,50,72,54,95,67,79,43,5,10,6,5,2,engineering,Science
50,44,54,45,42,47,70,86,74,92,66,97,54,62,82,7,7,4,1,3,marketing,Commerce
44,52,42,73,82,51,97,86,50,74,79,68,62,58,91,5,7,9,7,10,music,Arts
56,80,66,75,55,68,80,50,78,41,56,99,73,67,53,8,10,1,4,7,engineering,Science
98,45,75,48,56,79,54,93,52,58,72,88,56,92,57,2,10,10,6,8,business,Commerce
51,75,51,92,87,84,82,48,54,64,53,68,80,49,49,8,6,4,3,10,business,Commerce
82,52,50,75,65,91,42,60,77,62,100,58,78,82,87,4,1,8,1,2,literature,Arts
56,78,60,43,96,55,48,89,52,54,68,63,82,58,62,8,6,7,6,7,accounting,Commerce
56,44,80,73,89,95,78,85,84,96,77,73,58,73,82,4,10,1,9,2,music,Arts
89,79,74,52,85,70,84,88,76,66,40,76,56,59,95,4,4,5,5,4,drawing,Arts
98,95,72,41,63,76,84,65,91,58,59,61,62,77,45,8,1,2,7,1,physics,Science
70,59,69,74,89,64,55,68,54,85,41,90,77,73,40,8,8,7,8,10,psychology,Arts
66,81,45,96,60,67,81,90,94,49,89,48,59,40,70,4,10,10,5,7,physics,Science
45,75,80,91,96,99,68,48,47,95,73,91,64,90,66,7,5,8,9,9,drawing,Arts
93,42,90,88,47,95,98,69,45,45,65,47,44,86,92,5,7,5,8,1,finance,Commerce
50,84,58,60,90,43,83,56,88,49,100,82,96,89,75,1,6,1,4,9,literature,Arts
82,56,98,79,48,82,98,43,92,71,79,50,76,84,77,8,8,8,4,9,psychology,Arts
54,55,68,84,44,51,51,75,75,60,75,42,61,58,74,3,1,6,5,9,chemistry,Science
90,94,61,77,76,92,66,77,48,82,100,45,78,54,62,10,10,10,10,5,history,Arts
88,70,76,59,87,64,67,78,42,45,46,45,62,57,65,6,6,5,2,1,finance,Commerce
92,59,71,80,76,66,100,95,55,40,65,59,57,47,51,2,3,9,10,4,literature,Arts
64,82,55,69,65,69,89,90,80,65,96,57,95,75,78,8,10,5,6,3,drawing,Arts
44,45,46,60,82,78,67,52,54,59,100,83,91,48,46,10,3,8,7,4,music,Arts
72,99,69,97,77,78,47,87,82,41,66,58,58,62,50,6,2,2,8,3,drawing,Arts
48,43,83,54,76,96,40,82,82,70,89,52,88,96,94,6,9,1,5,8,psychology,Arts
63,90,99,74,66,44,65,46,79,43,43,72,56,96,53,8,4,1,1,5,psychology,Arts
52,79,99,70,100,77,48,96,77,40,94,59,77,49,65,2,4,6,3,4,history,Arts
43,66,44,80,74,98,80,73,60,60,61,89,94,53,60,3,9,9,5,3,accounting,Commerce
82,49,76,69,54,48,98,68,56,76,42,74,74,62,67,8,2,8,2,10,psychology,Arts
41,82,63,59,74,88,64,76,64,82,95,80,80,65,95,8,10,8,5,10,physics,Science
98,98,44,70,48,89,100,50,63,51,88,80,90,41,63,5,5,6,1,5,economics,Commerce
44,57,90,47,56,80,66,76,58,82,74,70,68,60,61,2,6,8,4,2,finance,Commerce
91,51,98,58,45,96,40,60,58,61,63,95,76,40,79,1,3,7,4,2,finance,Commerce
58,56,90,94,96,85,65,56,87,43,62,88,82,100,88,4,2,7,1,8,economics,Commerce
78,88,99,71,45,82,87,61,48,75,92,87,56,46,64,4,10,1,5,3,psychology,Arts
67,65,73,45,43,99,90,57,85,61,83,65,46,80,86,9,10,4,1,9,marketing,Commerce
51,75,65,49,85,95,70,81,90,93,47,72,63,41,77,8,4,9,1,1,accounting,Commerce
58,48,81,65,77,50,43,76,74,89,90,82,97,47,59,6,8,2,1,8,history,Arts
50,95,97,76,75,91,69,87,89,68,42,57,85,49,68,3,3,8,5,9,biology,Science
97,83,43,98,75,76,75,43,82,89,85,52,88,44,75,4,7,4,2,8,history,Arts
79,58,74,54,79,88,87,40,79,72,42,89,53,66,63,5,6,9,3,1,marketing,Commerce
46,82,58,97,85,58,60,70,76,48,64,47,78,95,67,4,7,4,1,3,physics,Science
96,58,73,76,60,86,97,72,43,99,100,49,62,85,90,6,3,9,2,7,drawing,Arts
43,99,57,57,43,49,70,87,75,95,80,53,62,42,93,1,4,2,5,7,biology,Science
95,81,65,78,100,94,71,92,48,78,92,82,100,75,52,1,9,7,3,1,literature,Arts
62,74,62,55,55,99,86,96,77,68,88,46,84,81,85,4,8,7,10,9,finance,Commerce
44,70,74,92,99,72,91,71,72,72,98,94,98,76,51,5,2,10,9,8,biology,Science
98,65,56,45,53,48,72,49,49,61,92,57,52,99,40,4,2,6,9,8,history,Arts
69,73,41,63,97,53,95,90,56,80,81,46,73,51,81,2,1,7,4,5,business,Commerce
64,94,56,49,79,100,73,71,68,51,90,96,41,95,50,9,2,7,5,8,accounting,Commerce
77,52,40,100,100,90,89,87,65,72,51,90,73,88,94,6,6,6,3,5,literature,Arts
88,82,91,52,63,90,66,68,43,65,63,83,66,68,50,8,1,6,6,2,business,Commerce
49,89,44,66,50,47,61,100,80,60,88,77,86,65,87,7,4,1,4,7,engineering,Science
76,90,90,64,52,77,41,61,70,79,81,51,95,98,98,4,7,6,2,3,chemistry,Science
93,97,74,75,77,78,65,44,53,69,86,87,44,74,84,9,7,6,2,9,music,Arts
93,95,94,40,78,56,62,69,54,85,98,51,71,78,76,10,9,1,3,6,literature,Arts
40,70,53,77,64,75,84,97,76,93,52,98,53,62,80,1,5,2,4,10,music,Arts
96,79,41,74,70,68,91,75,50,52,46,45,89,58,91,1,8,2,9,4,literature,Arts
40,69,97,87,93,83,98,78,80,97,88,60,79,97,66,2,8,5,2,3,engineering,Science
59,75,53,50,99,62,85,100,50,46,78,76,46,41,66,8,5,7,2,9,chemistry,Science
74,91,50,75,87,97,53,51,97,49,65,50,53,54,95,10,2,1,10,1,business,Commerce
52,90,63,84,59,70,60,99,90,72,67,51,56,97,80,9,2,2,10,9,marketing,Commerce
97,99,46,87,80,100,80,74,49,94,44,52,96,61,84,4,4,7,5,10,drawing,Arts
65,48,72,55,43,58,82,80,48,72,88,44,64,93,61,9,7,2,3,5,engineering,Science
44,67,57,65,88,64,88,89,45,86,48,76,51,93,92,6,2,2,6,6,economics,Commerce
72,75,61,87,72,65,63,94,59,52,95,89,69,77,40,7,9,7,5,8,economics,Commerce
93,62,60,40,73,86,74,50,49,60,55,95,67,59,49,1,2,8,10,10,music,Arts
83,40,96,94,78,42,64,91,79,76,40,45,43,46,97,5,1,10,8,1,economics,Commerce
62,74,71,78,69,46,47,49,66,62,40,45,89,78,90,2,2,4,4,8,marketing,Commerce
55,93,52,66,85,53,58,47,59,62,96,77,84,61,67,4,9,3,3,9,finance,Commerce
84,58,93,40,90,61,44,72,71,92,89,93,81,51,91,10,3,10,6,1,history,Arts
61,85,99,99,54,44,98,97,43,52,71,77,70,66,63,4,2,9,6,6,drawing,Arts
86,86,42,40,60,92,67,59,46,54,78,70,41,74,61,5,7,7,7,1,music,Arts
89,60,49,54,52,98,72,98,47,71,50,60,58,67,88,8,10,7,10,9,biology,Science
88,52,91,56,68,89,72,45,70,76,69,56,96,61,80,1,7,6,2,8,biology,Science
90,50,63,100,88,65,52,49,100,73,57,97,83,95,43,7,4,8,4,1,chemistry,Science
48,99,92,81,99,71,100,62,50,100,55,70,75,74,68,2,5,3,5,8,physics,Science
55,53,71,91,51,98,84,71,95,68,71,45,89,96,93,1,3,8,5,5,business,Commerce
69,61,77,90,93,81,47,40,73,81,46,42,100,63,75,8,4,9,1,1,drawing,Arts
73,94,43,57,71,55,89,84,73,42,94,96,77,85,62,3,6,3,9,6,chemistry,Science
98,69,42,65,66,46,99,55,55,91,75,65,79,58,68,8,2,1,8,9,business,Commerce
98,79,49,72,79,93,93,88,49,52,61,43,58,92,81,9,5,7,1,10,technology,Science
62,93,95,97,64,80,95,63,58,94,48,95,94,44,51,4,3,7,8,2,literature,Arts
87,46,59,66,87,53,62,91,48,75,81,88,64,75,100,7,7,8,7,7,business,Commerce
97,65,51,87,86,45,81,92,82,43,48,60,79,72,82,7,2,9,3,10,psychology,Arts
68,51,77,49,95,63,60,78,98,66,100,47,86,68,91,9,5,5,10,5,physics,Science
62,46,76,75,93,100,91,72,68,40,53,78,92,97,82,10,7,10,3,4,psychology,Arts
57,80,87,79,93,46,45,75,91,65,71,63,81,48,95,3,7,10,9,3,accounting,Commerce
55,54,94,41,62,57,60,92,87,91,84,68,61,45,88,7,6,4,4,1,marketing,Commerce
88,58,79,85,74,93,72,70,82,41,60,82,52,83,54,9,3,3,8,5,finance,Commerce
100,66,82,98,95,54,86,77,74,98,79,59,96,50,72,2,2,1,10,4,business,Commerce
99,96,89,82,52,69,54,61,81,70,63,54,95,53,42,7,1,7,5,3,physics,Science
68,94,50,78,82,78,46,72,69,64,44,85,57,41,60,8,5,8,6,6,engineering,Science
95,70,51,93,67,82,79,95,100,91,58,58,47,69,100,2,6,3,3,8,finance,Commerce
95,45,49,85,77,69,68,52,99,85,49,45,80,66,53,4,8,8,1,9,music,Arts
81,91,71,87,58,97,49,78,58,56,57,100,72,90,81,1,10,3,1,3,biology,Science
49,89,49,54,46,68,73,81,68,66,67,71,59,85,95,6,1,4,8,7,engineering,Science
46,43,43,46,87,46,81,67,59,43,89,91,80,50,49,1,3,8,9,9,literature,Arts
69,77,75,87,100,60,59,85,84,82,73,95,83,46,73,9,5,2,6,1,finance,Commerce
58,40,76,59,62,91,41,53,49,91,99,65,97,65,77,7,9,4,8,8,biology,Science
82,72,42,92,73,89,78,61,44,47,56,84,78,48,98,7,8,9,4,3,literature,Arts
70,85,80,96,93,70,50,61,83,40,83,98,78,73,100,9,10,8,10,3,economics,Commerce
59,72,92,63,81,57,42,92,90,69,74,69,95,60,57,9,9,4,2,6,psychology,Arts
44,64,51,60,41,47,78,99,92,79,96,54,64,78,56,5,4,6,10,1,history,Arts
94,46,56,80,55,69,61,90,67,42,51,63,69,77,95,1,2,8,9,4,finance,Commerce
97,84,47,59,94,100,98,67,98,88,96,47,66,90,68,3,8,2,1,5,business,Commerce
94,81,100,51,46,56,61,99,66,48,79,62,61,94,75,6,8,4,8,9,engineering,Science
87,64,87,48,42,88,58,70,65,78,80,63,88,91,68,4,5,6,6,7,business,Commerce
64,74,89,84,62,55,97,56,56,100,51,56,76,73,48,3,5,3,8,5,music,Arts
81,69,86,99,45,75,73,95,55,50,47,79,45,93,90,6,10,1,9,7,psychology,Arts
73,62,41,51,87,59,58,65,46,84,71,66,84,73,67,6,4,3,7,6,history,Arts
72,96,83,85,92,66,43,42,49,97,78,93,75,52,43,9,1,2,3,2,biology,Science
51,74,67,73,75,65,41,54,50,42,73,69,49,59,74,1,9,5,9,6,finance,Commerce
83,57,82,67,53,49,59,54,53,74,83,49,66,67,54,6,8,7,9,2,engineering,Science
49,69,53,90,69,89,95,56,51,98,77,58,68,80,43,3,10,1,4,7,literature,Arts
58,77,71,73,64,96,78,91,88,59,45,87,52,79,74,1,2,1,7,2,marketing,Commerce
49,85,95,76,77,53,47,86,89,86,61,96,52,72,77,1,2,4,9,3,marketing,Commerce
57,62,44,74,45,72,53,76,77,43,97,98,57,77,69,7,2,6,1,2,economics,Commerce
42,86,67,47,88,70,45,69,55,45,54,98,51,66,90,9,10,5,9,2,marketing,Commerce
67,47,99,76,48,66,73,93,81,100,71,57,100,42,87,5,9,5,10,5,finance,Commerce
43,56,78,95,93,88,90,90,76,50,52,94,71,77,93,6,6,10,10,2,physics,Science
75,55,93,70,77,42,48,65,60,94,99,50,62,84,42,5,7,4,5,1,economics,Commerce
63,44,84,42,58,50,84,84,84,55,46,79,54,40,51,2,5,3,8,8,economics,Commerce
54,85,83,41,61,49,61,100,58,53,99,70,66,57,46,4,7,9,9,5,drawing,Arts
43,82,44,43,77,75,45,58,80,76,59,99,79,59,82,9,9,4,7,5,finance,Commerce
100,97,59,98,65,76,86,48,87,83,79,75,94,65,67,4,2,9,7,4,physics,Science
94,67,49,93,91,99,62,80,86,84,76,57,88,62,47,2,10,7,2,5,drawing,Arts
71,90,100,70,95,95,84,49,73,46,81,72,60,51,55,6,1,5,5,1,marketing,Commerce
51,65,84,55,76,92,75,74,81,66,61,84,87,94,95,9,4,1,9,5,physics,Science
99,52,89,68,54,72,52,54,86,58,57,40,62,44,86,2,3,10,9,4,engineering,Science
65,56,93,91,62,52,42,50,50,63,52,90,97,41,91,4,10,4,3,4,literature,Arts
91,72,64,80,50,75,76,94,67,100,40,95,67,78,81,9,5,5,8,6,technology,Science
45,91,90,42,43,100,71,70,60,62,41,73,59,45,60,4,5,5,4,8,drawing,Arts
49,90,77,60,53,42,53,92,50,91,50,60,41,66,75,8,3,10,3,6,finance,Commerce
72,83,75,58,53,48,86,78,62,47,66,95,46,44,74,7,10,3,10,2,technology,Science
42,63,61,55,65,85,56,83,44,75,86,51,87,73,91,3,10,7,8,9,biology,Science
74,68,99,92,46,82,47,98,79,45,77,62,82,91,46,4,2,1,10,3,literature,Arts
43,71,87,88,73,68,60,67,55,57,71,67,69,53,76,7,1,8,5,1,marketing,Commerce
43,61,56,43,48,81,93,96,67,42,93,85,54,48,96,1,10,5,8,4,economics,Commerce
81,56,66,45,80,97,94,87,65,65,95,53,66,70,44,6,6,9,10,4,physics,Science
53,76,84,69,72,64,61,82,93,70,82,40,69,51,64,6,10,2,4,1,business,Commerce
57,87,96,46,44,60,52,94,60,90,47,81,93,50,81,3,3,9,3,7,drawing,Arts
98,67,64,58,83,89,88,57,79,65,43,54,54,88,61,7,1,3,4,2,physics,Science
87,70,58,82,64,90,90,50,74,41,44,94,72,52,60,1,7,5,6,2,drawing,Arts
89,44,99,89,49,94,81,60,43,67,52,52,69,85,80,7,4,2,8,1,chemistry,Science
46,55,85,66,61,60,71,43,84,86,79,81,91,59,82,8,1,4,9,6,biology,Science
61,53,83,87,65,46,44,82,64,62,48,96,66,58,91,10,9,5,7,1,psychology,Arts
85,70,54,60,87,98,46,55,78,40,42,77,51,50,69,8,7,8,5,4,technology,Science
76,95,59,92,49,88,43,67,84,99,50,59,71,55,57,8,1,2,3,7,physics,Science
89,74,41,96,64,81,95,93,100,52,64,46,75,93,68,9,9,5,10,10,economics,Commerce
78,74,76,71,99,40,45,67,70,73,76,85,94,89,98,9,4,10,10,8,chemistry,Science
71,40,96,41,77,73,59,51,64,87,82,45,58,82,77,5,2,7,9,7,business,Commerce
43,58,59,63,59,78,70,87,68,65,80,48,69,98,68,5,6,5,3,5,history,Arts
69,52,53,42,41,49,63,78,53,82,66,87,68,57,88,3,9,10,3,1,biology,Science
40,64,68,59,62,59,88,59,49,67,72,62,88,99,60,8,7,3,2,2,biology,Science
84,76,67,64,49,44,71,56,47,71,54,90,54,80,46,2,7,1,1,9,history,Arts
73,54,87,40,66,100,91,62,83,49,51,47,78,68,49,6,2,4,10,8,engineering,Science
68,79,69,81,72,49,54,63,65,99,63,80,68,60,71,3,6,5,9,6,biology,Science
68,97,86,68,100,49,43,78,54,83,77,89,89,81,55,8,10,7,2,9,history,Arts
66,89,83,79,50,74,56,41,50,85,72,72,40,86,86,1,8,10,7,2,history,Arts
64,41,78,42,48,85,90,69,64,80,78,62,83,92,79,9,8,8,4,9,drawing,Arts
71,67,74,55,46,92,58,55,64,79,68,97,91,78,55,5,4,2,1,3,chemistry,Science
63,40,70,56,95,72,62,45,71,92,56,63,96,93,98,3,6,8,10,10,business,Commerce
91,89,49,66,100,55,49,47,68,65,41,46,97,63,98,5,1,10,8,3,biology,Science
88,81,75,53,92,69,67,82,57,54,96,41,72,81,67,2,5,9,4,8,literature,Arts
70,59,54,72,46,61,76,52,58,65,43,53,65,46,95,8,8,3,6,1,economics,Commerce
88,44,80,73,65,45,53,59,70,44,41,84,84,54,40,10,1,4,10,5,physics,Science
89,69,69,71,84,100,86,92,60,48,52,59,95,52,74,4,10,6,8,4,engineering,Science
68,41,86,48,59,49,76,85,43,77,64,53,46,42,88,2,4,3,10,10,engineering,Science
77,86,56,78,61,90,62,51,61,86,43,41,82,80,90,6,7,2,2,1,accounting,Commerce
78,100,87,57,86,99,86,44,98,91,68,65,75,56,61,1,2,9,2,1,accounting,Commerce
44,84,84,62,49,76,62,54,61,96,57,89,46,88,43,3,2,3,2,9,marketing,Commerce
80,54,73,61,49,91,80,98,44,86,93,64,45,79,59,9,5,2,2,10,physics,Science
64,95,77,98,57,43,73,60,68,82,85,72,67,65,43,7,8,1,7,5,literature,Arts
87,44,87,85,72,85,56,55,43,100,78,76,50,59,70,4,7,6,7,10,history,Arts
49,78,62,75,95,93,70,45,47,45,73,56,42,66,75,8,8,4,6,6,drawing,Arts
43,91,48,67,92,62,95,90,44,99,45,98,49,97,55,3,6,1,5,1,psychology,Arts
64,59,94,89,50,93,41,97,58,62,96,82,56,92,57,2,4,8,1,1,accounting,Commerce
72,50,46,46,77,66,54,77,60,69,44,81,98,48,99,2,1,3,1,9,business,Commerce
95,80,56,90,52,71,47,57,79,40,53,91,73,94,68,2,4,7,3,1,economics,Commerce
48,54,83,57,65,81,55,70,97,75,48,97,73,51,78,10,2,9,8,1,chemistry,Science
61,88,67,92,74,51,82,68,61,88,82,75,53,75,58,8,10,7,7,9,music,Arts
55,84,75,62,53,64,63,85,41,45,86,58,72,81,72,4,7,9,2,4,history,Arts
78,52,89,64,81,64,43,46,41,88,81,80,65,50,61,4,4,4,9,5,history,Arts
84,50,60,93,78,69,62,81,94,82,97,79,93,45,79,9,2,3,4,2,finance,Commerce
93,80,40,91,61,42,54,74,84,97,47,56,96,86,83,10,5,6,6,6,marketing,Commerce
97,89,46,86,55,76,91,82,62,92,78,78,41,98,81,1,8,2,2,5,history,Arts
54,72,91,85,51,69,82,69,45,52,46,49,77,44,82,10,7,2,3,2,technology,Science
53,47,66,89,80,89,45,48,96,91,51,93,49,82,47,6,5,10,5,4,technology,Science
88,84,65,47,72,81,56,44,61,58,74,52,41,60,92,4,10,8,9,1,drawing,Arts
